device_type,password_changed,password_strength,mfa_enabled,update_frequency,latest_firmware,wifi_security,guest_network,remote_access,communication_encryption,data_encryption,manufacturer_reputation,unused_services_disabled,security_logs,permission_review,data_minimization,security_score,risk_level
Smart Lock,1,2,0,1,0,1,1,1,1,1,2,1,1,1,1,67,Medium
Smart Speaker,0,2,0,2,1,0,0,1,1,0,2,1,1,1,1,56,Medium
Smart Sensor,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,38,High
Smart Speaker,1,2,1,2,1,2,1,1,1,1,2,0,1,1,1,92,Very Low
Smart Lock,0,2,0,0,0,0,0,1,0,1,2,0,0,0,1,27,Critical
Smart Sensor,1,2,0,1,0,1,0,2,1,1,0,0,0,1,0,54,High
Smart Lock,0,2,1,2,1,2,1,2,0,1,1,1,0,0,1,75,Low
Thermostat,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,98,Very Low
Smart Speaker,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,98,Very Low
Thermostat,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,29,Critical
Smart Speaker,1,2,1,2,1,2,1,2,1,1,2,1,1,0,0,94,Very Low
Smart Sensor,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,18,Critical
Smart Lock,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,16,Critical
Camera,1,2,1,1,0,1,1,2,1,1,1,1,1,0,0,73,Medium
Smart Sensor,1,2,1,2,1,2,1,2,1,0,1,1,1,0,1,87,Low
Smart Lock,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,94,Very Low
Camera,1,2,1,2,0,2,1,2,1,1,1,1,0,1,1,86,Low
Thermostat,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,Critical
Thermostat,0,0,0,2,0,2,0,1,1,1,2,1,1,1,1,54,High
Smart Lock,1,2,0,1,1,0,0,1,1,1,0,1,1,0,1,62,Medium
Camera,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,89,Low
Smart Lock,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,96,Very Low
Camera,1,2,1,1,1,2,1,1,1,1,1,0,1,1,1,85,Low
Smart Sensor,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,92,Very Low
Smart Lock,1,2,1,2,1,2,0,2,1,1,1,0,1,1,1,90,Very Low
Camera,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,29,Critical
Smart Lock,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,Critical
Smart Speaker,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,57,Medium
Thermostat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,Critical
Thermostat,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,15,Critical
Thermostat,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,100,Very Low
Camera,0,2,0,2,1,1,0,1,0,0,2,0,0,0,1,43,High
Smart Speaker,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,Critical
Smart Speaker,1,2,1,2,1,2,0,2,1,1,2,1,1,0,1,93,Very Low
Camera,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,98,Very Low
Smart Speaker,0,2,0,2,1,0,0,1,1,1,0,0,1,0,1,53,High
Smart Sensor,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,36,High
Camera,1,0,1,1,1,1,1,2,1,1,1,0,1,0,0,71,Medium
Thermostat,1,1,0,1,0,2,1,1,1,0,1,1,0,0,1,52,High
Camera,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,91,Very Low
Camera,1,0,1,0,1,2,0,0,1,0,1,0,1,1,0,53,High
Thermostat,1,2,1,2,1,0,1,2,1,1,2,1,1,0,1,89,Low
Thermostat,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,39,High
Camera,1,0,1,2,1,1,1,1,1,1,2,0,1,1,0,77,Low
Camera,1,2,1,0,0,2,0,1,0,0,1,1,0,1,0,49,High
Smart Lock,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7,Critical
Camera,0,0,0,0,1,1,0,1,1,0,2,0,0,1,0,33,Critical
Camera,1,2,1,0,1,1,0,1,1,1,2,1,1,0,1,75,Low
Camera,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,94,Very Low
Smart Speaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Critical
Smart Lock,1,2,1,2,1,1,1,2,1,1,1,1,0,0,0,86,Low
